time index;Blockage Counter;Overtravel Counter;Internal Error Counter;Over Voltage Counter;Under Voltage Counter;Over Temperature Counter;Cycle Count;CPDMRptdMvmt
1765443486731;0;0;0;0;0;0;0;0
1765443487091;0;0;0;0;0;0;0;0
1765443493659;0;0;0;0;0;0;0;1
1765443494671;0;0;0;0;0;0;3;1
1765443495191;0;0;0;0;0;0;3;0
1765443500231;0;0;0;0;0;0;3;1
1765443500591;0;0;0;0;0;0;3;0
1765443507160;0;0;0;0;0;0;3;1
1765443508151;0;0;0;0;0;0;4;1
1765443508691;0;0;0;0;0;0;4;0
1765443513731;0;0;0;0;0;0;4;1
1765443514091;0;0;0;0;0;0;4;0
1765443520660;0;0;0;0;0;0;4;1
1765443521671;0;0;0;0;0;0;5;1
1765443522191;0;0;0;0;0;0;5;0
1765443527231;0;0;0;0;0;0;5;1
1765443527591;0;0;0;0;0;0;5;0
1765443534161;0;0;0;0;0;0;5;1
1765443535191;0;0;0;0;0;0;6;1
1765443535691;0;0;0;0;0;0;6;0
1765443540731;0;0;0;0;0;0;6;1
1765443541091;0;0;0;0;0;0;6;0
1765443547661;0;0;0;0;0;0;6;1
1765443548671;0;0;0;0;0;0;7;1
1765443549191;0;0;0;0;0;0;7;0
1765443554231;0;0;0;0;0;0;7;1
1765443554591;0;0;0;0;0;0;7;0
1765443561162;0;0;0;0;0;0;7;1
1765443562171;0;0;0;0;0;0;8;1
1765443562711;0;0;0;0;0;0;8;0
1765443567751;0;0;0;0;0;0;8;1
1765443568111;0;0;0;0;0;0;8;0
1765443574662;0;0;0;0;0;0;8;1
1765443575691;0;0;0;0;0;0;9;1
1765443576211;0;0;0;0;0;0;9;0
1765443581251;0;0;0;0;0;0;9;1
1765443581611;0;0;0;0;0;0;9;0
1765443588162;0;0;0;0;0;0;9;1
1765443589191;0;0;0;0;0;0;10;1
1765443589711;0;0;0;0;0;0;10;0
1765443594751;0;0;0;0;0;0;10;1
1765443595111;0;0;0;0;0;0;10;0
1765443601663;0;0;0;0;0;0;10;1
1765443602671;0;0;0;0;0;0;11;1
1765443603211;0;0;0;0;0;0;11;0
1765443608251;0;0;0;0;0;0;11;1
1765443608611;0;0;0;0;0;0;11;0
1765443615163;0;0;0;0;0;0;11;1
1765443616191;0;0;0;0;0;0;12;1
1765443616711;0;0;0;0;0;0;12;0
1765443621751;0;0;0;0;0;0;12;1
1765443622111;0;0;0;0;0;0;12;0
1765443628664;0;0;0;0;0;0;12;1
1765443629691;0;0;0;0;0;0;13;1
1765443630211;0;0;0;0;0;0;13;0
1765443635251;0;0;0;0;0;0;13;1
1765443635611;0;0;0;0;0;0;13;0
1765443642164;0;0;0;0;0;0;13;1
1765443643151;0;0;0;0;0;0;14;1
1765443643711;0;0;0;0;0;0;14;0
1765443648751;0;0;0;0;0;0;14;1
1765443649111;0;0;0;0;0;0;14;0
1765443655665;0;0;0;0;0;0;14;1
1765443656631;0;0;0;0;0;0;15;1
1765443657211;0;0;0;0;0;0;15;0
1765443662251;0;0;0;0;0;0;15;1
1765443662611;0;0;0;0;0;0;15;0
1765443669165;0;0;0;0;0;0;15;1
1765443670151;0;0;0;0;0;0;16;1
1765443670711;0;0;0;0;0;0;16;0
1765443675751;0;0;0;0;0;0;16;1
1765443676131;0;0;0;0;0;0;16;0
1765443682666;0;0;0;0;0;0;16;1
1765443683671;0;0;0;0;0;0;17;1
1765443684211;0;0;0;0;0;0;17;0
1765443689251;0;0;0;0;0;0;17;1
1765443689611;0;0;0;0;0;0;17;0
1765443696166;0;0;0;0;0;0;17;1
1765443697171;0;0;0;0;0;0;18;1
1765443697711;0;0;0;0;0;0;18;0
1765443702751;0;0;0;0;0;0;18;1
1765443703131;0;0;0;0;0;0;18;0
1765443709667;0;0;0;0;0;0;18;1
1765443710671;0;0;0;0;0;0;19;1
1765443711211;0;0;0;0;0;0;19;0
1765443716251;0;0;0;0;0;0;19;1
1765443716631;0;0;0;0;0;0;19;0
1765443723167;0;0;0;0;0;0;19;1
1765443724171;0;0;0;0;0;0;20;1
1765443724711;0;0;0;0;0;0;20;0
1765443729751;0;0;0;0;0;0;20;1
1765443730111;0;0;0;0;0;0;20;0
1765443736668;0;0;0;0;0;0;20;1
1765443737711;0;0;0;0;0;0;21;1
1765443738211;0;0;0;0;0;0;21;0
1765443743251;0;0;0;0;0;0;21;1
1765443743611;0;0;0;0;0;0;21;0
1765443750168;0;0;0;0;0;0;21;1
1765443751151;0;0;0;0;0;0;22;1
1765443751711;0;0;0;0;0;0;22;0
1765443756751;0;0;0;0;0;0;22;1
1765443757111;0;0;0;0;0;0;22;0
1765443763669;0;0;0;0;0;0;22;1
1765443764651;0;0;0;0;0;0;23;1
1765443765211;0;0;0;0;0;0;23;0
1765443770251;0;0;0;0;0;0;23;1
1765443770611;0;0;0;0;0;0;23;0
1765443777169;0;0;0;0;0;0;23;1
1765443778151;0;0;0;0;0;0;24;1
1765443778711;0;0;0;0;0;0;24;0
1765443783751;0;0;0;0;0;0;24;1
1765443784131;0;0;0;0;0;0;24;0
1765443790670;0;0;0;0;0;0;24;1
1765443791671;0;0;0;0;0;0;25;1
1765443792211;0;0;0;0;0;0;25;0
1765443797251;0;0;0;0;0;0;25;1
1765443797611;0;0;0;0;0;0;25;0
1765443804170;0;0;0;0;0;0;25;1
1765443805211;0;0;0;0;0;0;26;1
1765443805711;0;0;0;0;0;0;26;0
1765443810751;0;0;0;0;0;0;26;1
1765443811111;0;0;0;0;0;0;26;0
1765443817671;0;0;0;0;0;0;26;1
1765443818651;0;0;0;0;0;0;27;1
1765443819211;0;0;0;0;0;0;27;0
1765443824251;0;0;0;0;0;0;27;1
1765443824611;0;0;0;0;0;0;27;0
1765443831171;0;0;0;0;0;0;27;1
1765443832151;0;0;0;0;0;0;28;1
1765443832711;0;0;0;0;0;0;28;0
1765443837751;0;0;0;0;0;0;28;1
1765443838111;0;0;0;0;0;0;28;0
1765443844672;0;0;0;0;0;0;28;1
1765443845671;0;0;0;0;0;0;29;1
1765443846211;0;0;0;0;0;0;29;0
1765443851251;0;0;0;0;0;0;29;1
1765443851611;0;0;0;0;0;0;29;0
1765443858172;0;0;0;0;0;0;29;1
1765443859151;0;0;0;0;0;0;30;1
1765443859711;0;0;0;0;0;0;30;0
1765443864751;0;0;0;0;0;0;30;1
1765443865111;0;0;0;0;0;0;30;0
1765443871673;0;0;0;0;0;0;30;1
1765443872671;0;0;0;0;0;0;31;1
1765443873211;0;0;0;0;0;0;31;0
1765443878251;0;0;0;0;0;0;31;1
1765443878611;0;0;0;0;0;0;31;0
1765443885173;0;0;0;0;0;0;31;1
1765443886171;0;0;0;0;0;0;32;1
1765443886711;0;0;0;0;0;0;32;0
1765443891751;0;0;0;0;0;0;32;1
1765443892111;0;0;0;0;0;0;32;0
1765443898674;0;0;0;0;0;0;32;1
1765443899691;0;0;0;0;0;0;33;1
1765443900211;0;0;0;0;0;0;33;0
1765443905251;0;0;0;0;0;0;33;1
1765443905611;0;0;0;0;0;0;33;0
1765443912174;0;0;0;0;0;0;33;1
1765443913171;0;0;0;0;0;0;34;1
1765443913711;0;0;0;0;0;0;34;0
1765443918751;0;0;0;0;0;0;34;1
1765443919111;0;0;0;0;0;0;34;0
1765443925675;0;0;0;0;0;0;34;1
1765443926691;0;0;0;0;0;0;35;1
1765443927211;0;0;0;0;0;0;35;0
1765443932251;0;0;0;0;0;0;35;1
1765443932611;0;0;0;0;0;0;35;0
1765443939175;0;0;0;0;0;0;35;1
1765443940171;0;0;0;0;0;0;36;1
1765443940711;0;0;0;0;0;0;36;0
1765443945751;0;0;0;0;0;0;36;1
1765443946111;0;0;0;0;0;0;36;0
1765443952676;0;0;0;0;0;0;36;1
1765443953691;0;0;0;0;0;0;37;1
1765443954211;0;0;0;0;0;0;37;0
1765443959251;0;0;0;0;0;0;37;1
1765443959611;0;0;0;0;0;0;37;0
1765443966176;0;0;0;0;0;0;37;1
1765443967171;0;0;0;0;0;0;38;1
1765443967711;0;0;0;0;0;0;38;0
1765443972751;0;0;0;0;0;0;38;1
1765443973111;0;0;0;0;0;0;38;0
1765443979677;0;0;0;0;0;0;38;1
1765443980691;0;0;0;0;0;0;39;1
1765443981211;0;0;0;0;0;0;39;0
1765443986251;0;0;0;0;0;0;39;1
1765443986631;0;0;0;0;0;0;39;0
1765443993177;0;0;0;0;0;0;39;1
1765443994191;0;0;0;0;0;0;40;1
1765443994711;0;0;0;0;0;0;40;0
1765443999751;0;0;0;0;0;0;40;1
1765444000111;0;0;0;0;0;0;40;0
1765444006678;0;0;0;0;0;0;40;1
1765444007691;0;0;0;0;0;0;41;1
1765444008211;0;0;0;0;0;0;41;0
1765444013251;0;0;0;0;0;0;41;1
1765444013611;0;0;0;0;0;0;41;0
1765444020178;0;0;0;0;0;0;41;1
1765444021251;0;0;0;0;0;0;42;1
1765444021711;0;0;0;0;0;0;42;0
1765444026751;0;0;0;0;0;0;42;1
1765444027111;0;0;0;0;0;0;42;0
1765444033679;0;0;0;0;0;0;42;1
1765444034691;0;0;0;0;0;0;43;1
1765444035211;0;0;0;0;0;0;43;0
1765444040251;0;0;0;0;0;0;43;1
